,name,salary_from,salary_to,url,salary_currency,area_name,description,skills,published_at
0,C# программист (.NET Core Web API),,,https://api.hh.ru/vacancies/72026295?host=hh.ru,,Москва,"<p>Обычно в разделе о компании пишут о вехах развития бизнеса или продукта, но для нас самое главное — это люди. Мы живем в среде, в которой хочется творить и создавать, в атмосфере свободы и единых для всех норм — не боясь делиться идеями, получать честный фидбек и отстаивать своё мнение.</p> <p>У Bimeister есть лучший друг - <strong>компания Yoonion</strong>, которая объединяет два продукта:<br /><strong>- TestIT</strong> система управления тестированием, направленную на улучшение качества выпускаемых программных продуктов;</p> <p><strong>- TeamStorm </strong>система управления совместной работой (аналоги: Asana, Jira, Wrike), которая помогает компаниям любого размера и индустрии управлять рабочими процессами и объединять команды разработки, маркетинга, продаж и т.д. для своевременного достижения стратегических целей.</p> <p><strong>Bimeister</strong> — это платформа для автоматизации процессов на всех этапах жизненного цикла предприятий. От проектирования до эксплуатации, в том числе сложных промышленных объектов.</p> <p>Мы ищем классных Бэкенд разработчиков в <strong>Yoonion</strong> и в <strong>Bimeister </strong>с желанием создавать лучший продукт и готовностью развиваться вместе с нами!</p> <p><strong>Задачи:</strong></p> <ul> <li>разработка и сопровождение новых проектов компании;</li> <li>разработка backend логики продуктов;</li> <li>участие в проектировании программных продуктов;</li> <li>поддержка CI конвейера;</li> <li>у тебя будет возможность самостоятельно выбирать методы реализации задач;</li> <li>каждый разработчик участвует в планировании, принятии технических решений и их реализации.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Знание C#, желательно знание платформы .Net Core;</li> <li>Обязательное знание и понимание основ ООП;</li> <li>Знание принципов SOLID и шаблонов проектирования;</li> <li>Понимание методик юнит-тестирования, опыт работы с современными фреймворками (MSTest, XUnit.NET, Moq и т.п.);</li> <li>Знание таких продуктов и технологий как Redis, RabbitMQ;</li> <li>Опыт работы с Entity Framework/EF Core;</li> <li>Опыт работы с SQL бд;</li> <li>Опыт работы с Docker;</li> <li>Знание средств коллективной разработки и сборки проектов (Git, Jira, Jenkins и т.д.);</li> <li>Технический английский язык (чтение документации);</li> <li>Опыт разработки веб-сервисов.</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Практический опыт разработки на одном из языков C++/Java/Python/JavaScript;</li> <li>Опыт имплементации сбора и визуализация метрик (Carbon/Graphite/Grafana, collectd, Prometheus и .тд);</li> <li>Опыт использования нереляционных БД (ClickHouse, Tarantool, MongoDB, Cassandra, и т.д.);</li> <li>Опыт работы с PostgreSQL;</li> <li>Опыт разработки микросервисов.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Инновационную культуру, в которой хочется творить и созидать, воплощать в жизнь самые смелые и прорывные идеи. Мы не расставляем рамок для развития команды или продукта. Каждый из нас может проявить себя без ограничений и создать что-то новое, чем будет по-настоящему гордиться;</li> </ul> <ul> <li>Возможность реализовать свой опыт и амбициозные идеи. Безграничный профессиональный и карьерный рост;</li> </ul> <ul> <li>Масштабные задачи в команде лучших экспертов;</li> </ul> <ul> <li>Постоянное развитие – обучение, митапы и интересные конференции;</li> </ul> <ul> <li>Работа в высокотехнологичной компании: мы следим за современными тенденциями в технологиях и подходах к разработке;</li> </ul> <ul> <li>Мы заботимся о здоровье и настроении нашей команды и инвестируем в страхование, спорт и постоянные корпоративные мероприятия;</li> </ul> <ul> <li>Мы ценим свободу каждого в нашей команде и предоставляем возможность выбирать, где удобно работать – в офисе/дистанционно/комбинированно + гибкое начало и окончание рабочего дня;</li> </ul> <ul> <li>Современный офис со всем полезным и необходимым: напитки, свежие фрукты, «перекусы», комната отдыха и техника, на которой приятно работать;</li> </ul> <ul> <li>Естественно, у нас официальное трудоустройство и «белая» зарплата, зависящая от компетенций и результатов работы;</li> <li>Мы входим в реестр аккредитованных ИТ-компаний.</li> </ul>","C#, ООП, .net core",2022-12-26T11:17:49+0300
1,Разработчик C# (middle+),150000.0,,https://api.hh.ru/vacancies/74247330?host=hh.ru,RUR,Москва,"<p><strong>ГК &quot;Танаис&quot;</strong> успешно развивается на рынке в течении 25 лет, предоставляя клиентам услуги внедрения российских программных продуктов и интеграции. Одним из наших направлений деятельности является интеграция и разработка собственных программных продуктов - это выводимая на рынок российская интеграционная шина HyperUp.</p> <p>Для усиления продуктовой команды HyperUp мы ищем <strong>Бэкенд Разработчика (C#, .Net)</strong>.</p> <p> </p> <p><strong><em>Что необходимо делать?</em></strong></p> <ul> <li> <p><em>Проектировать и разрабатывать плагины и компоненты для интеграционной шины </em><em>HyperUp;</em></p> </li> <li> <p><em>Дорабатывать ядра интеграционной шины HyperUp;</em></p> </li> <li> <p><em>Проводить Code </em><em>review;</em></p> </li> <li> <p><em>Участвовать в разработке технической документации (технические задания, схемы интеграционного ландшафта, описательная документация к продукту);</em></p> </li> <li> <p><em>Участвовать в интеграционных проектах в качестве разработчика.</em></p> </li> </ul> <p> </p> <p><strong><em>Наш идеальный кандидатам:</em></strong></p> <ul> <li> <p><em>Имеет опыт работы разработчиком на проектах разработки ПО и интеграции;</em></p> </li> <li> <p><em>С хорошим знанием C#, SQL, REST, XML, JSON, HTTP</em> (б<em>удет<em> </em>плюсом</em><em> </em><em>опыт</em><em> </em><em>работы</em><em> </em><em>с</em><em>: Kubernetes, Docker, Linux (Ubuntu);</em></p> </li> <li> <p><em>Желательно опыт работы с корпоративными информационными системами класса ECM</em><em>, </em><em>BPM</em><em>, </em><em>ERP</em><em>, понимание их принципов работы;</em></p> </li> <li> <p><em>Умеет изъясняться лаконично, понятно, доносить сложные мысли простым языком;</em></p> </li> <li> <p><em>Английский язык на уровне чтения тех. Документации и поиска в интернете.</em></p> </li> </ul> <p> </p> <p><strong><em>Почему к нам стоит идти?</em></strong></p> <ul> <li><em>Офис находится в 15 минутах пешком от метро Курская / Чкаловская;</em></li> <li><em>График работы с 10.00 до 19.00;</em></li> <li><em>Официальное оформление по ТК РФ с первого рабочего дня;</em></li> <li><em>Крупные проекты в различных бизнес-областях;</em></li> <li><em>Профессиональная, амбициозная команда и лояльное руководство;</em></li> <li><em>Имеются системы наставничества и обучения;</em></li> <li><em>Интересная корпоративная жизнь (сплавы на байдарках, парусные регаты и другие активности);</em></li> <li><em>Уровень дохода зависит от квалификации и профессиональных компетенций. Обсуждается индивидуально с потенциальным сотрудником.</em></li> </ul> <p> </p> <p><em>Работа в офисе во время испытательного срока (до 3х месяцев)!!!</em></p> <p>После испытательного срока возможна удаленная работа в <em>гибридном режиме</em> по согласованию с руководителем</p>","Английский язык, C#, SQL, REST, Kubernetes, BPM, ESB",2022-12-26T11:39:07+0300
